"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","3652","basarili kullanici girisi","Default Suite","Sun Apr 13 16:22:53 TRT 2025","passed","Sun Apr 13 16:22:57 TRT 2025","LoginTests","TechcareerOdev","LoginTests","basariligiris"
"","3299","basarisiz kullanici girisi","Default Suite","Sun Apr 13 16:23:11 TRT 2025","failed","Sun Apr 13 16:23:14 TRT 2025","LoginTests","TechcareerOdev","LoginTests","basarisizgiris"
